Cagetoria-Engajamento
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Menção direta ao trailer,altíssimo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Crítica ideológica,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,nulo"
"Engajamento positivo,altíssimo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,altíssimo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Menção direta ao trailer,nulo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,altíssimo"
"Engajamento positivo,médio"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,baixo"
"Engajamento positivo,alto"
"Engajamento negativo,baixo"
"Importância / Menção ao Elenco,altíssimo"
"Engajamento positivo,baixo"
