Autor,Comentário,Data,Likes,Sentimento BERT
@lucasfonsecadias8305,Primeiro trailer brasileiro que não é uma confusão hahahaha,2024-10-12T19:02:07Z,0,
@gibrailtadeuaraujodutra2608,"Trabalho impecável, que merece receber muitos prêmios e ser muito assistido por milhões de pessoas. Uma obra que retrata a história de uma fase obscura do nosso país. Verei com certeza.",2024-10-12T06:26:15Z,2,
@paulovictor.c,"O ""Nós vamos sorrir"" já deixa o choro preso na garganta",2024-10-11T17:33:05Z,2219,
@laylaoliveira8298,Arrepiante!!!,2024-10-11T14:42:57Z,0,
@vicsnarciso,"Vamos galera, brasileiros e brasileiras, lotar as salas de cinema 🇧🇷🇧🇷🇧🇷",2024-10-11T14:06:30Z,7,
@welingtonliberatosantos2470,"Excelentes filmes brasileiros da safra 2024, assistam também:

Baby, de Marcelo Caetano

Betânia, de Marcelo Botta

Enterre Seus Mortos, de Marco Dutra

Kasa Branca, de Luciano Vidigal - estreia mundial

Lispectorante, de Renata Pinheiro - estreia mundial

Malu, de Pedro Freire

Manas, de Marianna Brennand

Os Enforcados, de Fernando Coimbra

O Silêncio das Ostras, de Marcos Pimentel - estreia mundial

Retrato de um Certo Oriente, de Marcelo Gomes

Serra das Almas, de Lírio Ferreira - estreia mundial",2024-10-11T13:29:17Z,1,
@sr.aleixoso6286,"Vai Fernanda, esse Oscar é seu!!!!",2024-10-11T12:51:49Z,0,
@gustavoamerico6817,iremos em peso nos cinemas!!!,2024-10-11T12:15:22Z,0,
@Fercristine88,❤❤❤❤❤,2024-10-11T12:10:50Z,0,
@joaopereira4955,Que trailer fantástico. Hollywood que aprenda com a equipa de Walter Salles!,2024-10-11T09:39:38Z,1,
@miguelsilva1084,alguém sabe nome da música deste trailer?,2024-10-10T21:21:58Z,0,
@giovanisilver2146,Brasil é foda a cada 20 anos tem um filme bom depois vem só porcaria,2024-10-10T19:32:38Z,1,
@heloisa.ladislau,Estou ansiosa ❤,2024-10-10T18:02:05Z,0,
@telesrick,Ansioso para ver esse filme!,2024-10-10T16:34:44Z,0,
@pedrofernandes3137,Rapaz... Fiquei interessado. Vou dar uma chance ao cinema brasileiro.,2024-10-10T16:04:19Z,0,
@Andrecos87animation,esse vai ser hype,2024-10-10T14:43:38Z,0,
@loicwirth_,Cinema brasileiro de verdade...tava com saudade,2024-10-10T12:45:12Z,0,
@vitoralves5382,"Não achei que viveria para ver uma obra do cinema brasileiro que prestasse depois dos clássicos. 

Enfim vivi ...",2024-10-10T11:10:44Z,0,
@ruialmeida7877,"Enche-me de profunda tristeza quando imagino que dois canalhas : Collor e Bolsonaro , quiseram destruir nosso cinema nacional; saber que nossa cultura cinematográfica e nossos artistas sobreviveram a esses torturadores políticos, renova minha esperança!",2024-10-10T08:52:40Z,1,
